"","股票代號","股票名稱","股價","股東報酬率","本益比","負債比","董監事持股比"
"1",8429," 　金麗-KY",45.65,24.6125,7.358,26.376,27.17
"2",1516," 　川飛",27.46305,21.165,317.962,13.038,23.35
"3",4426," 　利勤",139.5,27.825,19.446,35.182,12.66
"4",3450," 　聯鈞",112.5,27.9525,9.414,38.074,8.65
"5",2539," 　櫻花建",24.9,27.395,10.976,45.742,14.88
"6",2929," 　淘帝-KY",156,25.9,9.124,35.976,NA
"7",3209," 　全科",25.95,12.988,8.372,74.088,14.34
"8",2316," 　楠梓電",19.85,16.36,36.426,34.942,17.99
"9",3048," 　益登",17.15,10.29,10.758,75.65,16.65
"10",9910," 　豐泰",145,24.126,18.872,50.568,27.44
"11",2317," 　鴻海",77.3,14.52,9.236,54.032,10.92
"12",1442," 　名軒",19.55,17.406,11.442,67.28,6.89
"13",2537," 　聯上發",10.2,13.92,3.212,41.886,18.06
"14",6184," 　大豐電",32.2,8.07666666666667,24.91,44.954,11.67
"15",2034," 　允強",22.25,8.63,14.99,32.76,16.39
"16",6177," 　達麗",20.3,25.5,6.096,71.124,10.47
"17",1808," 　潤隆",32.95,19.325,9.702,72.186,11.46
"18",4977," 　眾達-KY",56.3,17.825,10.894,19.65,28.84
"19",1227," 　佳格",77.8,22.284,22.792,32.884,34.58
"20",2891," 　中信金",18.2,18.3166666666667,9.812,93.976,3.05
"21",2108," 　南帝",22.85,10.38,9.344,18.782,34.8
"22",2231," 　為升",372.5,30.906,27.404,35.264,19.76
"23",1717," 　長興",33.95,9.51,11.496,55.244,17.7
"24",2884," 　玉山金",17.7,14.1733333333333,10.788,93.16,4.94
"25",2331," 　精英",14.4,7.426,6.764,47.694,52.81
"26",3036," 　文曄",42.15,13.608,9.956,66.242,7.73
"27",3056," 　總太",19.9,28.586,4.348,58.554,10.42
"28",2542," 　興富發",47.85,29.408,6.598,67.284,4.29
"29",2887," 　台新金",11.7,12.6733333333333,9.306,91.812,2.91
"30",1583," 　程泰",56,15.68,11.008,58.526,53.28
"31",8404,"　百和興業-KY",35.85,8.942,15.906,31.376,51.6
"32",4968,"　立積",58.2,24.72,22.304,37.354,NA
"33",2236," 　百達-KY",68,2.612,20.626,29.72,NA
"34",6422,"　君耀-KY",66.8,18.21,9.834,29.56,NA
"35",2597," 　潤弘",37,15.804,8.9,52.896,56.15
"36",2530," 　華建",13.65,4.326,3.16,47.78,10.12
"37",6112," 　聚碩",26.15,11.726,10.916,63.39,12.11
"38",8163," 　達方",19.15,2.43,8.734,46.364,21.86
"39",3257," 　虹冠電",41.6,16.048,16.646,11.63,9.41
"40",1213," 　大飲",15.7,1.794,76.048,20.076,13.51
"41",1436," 　華友聯",40.85,6.254,145.362,65.584,22.64
"42",6269," 　台郡",81.6,26.104,9.06,35.352,5.48
"43",2892," 　第一金",16.5,11.42,11.712,92.658,15.98
"44",3607," 　谷崧",35.15,7.588,39.612,39.598,12.54
"45",2880," 　華南金",16.15,11.23,11.634,93.58,23.13
"46",2548," 　華固",51.7,18.586,14.722,62.762,15.33
"47",5522," 　遠雄",36.75,16.606,5.388,56.538,15.89
"48",5525," 　順天",14.7,12.142,23.546,54.6,21.52
"49",1477," 　聚陽",147,26.018,14.7,36.686,10.38
"50",2347," 　聯強",34.25,12.912,17.326,67.512,19.31
"51",2462," 　良得電",18.25,13.054,12.59,47.856,10.72
"52",2511," 　太子",10.4,11.104,8.756,54.656,25.91
"53",2536," 　宏普",26.55,12.325,5.098,39.022,31.63
"54",3028," 　增你強",16.8,7.978,10.836,61.916,12.89
"55",5215," 　科嘉-KY",30.4,9.62,9.966,28.12,9.6
"56",2890," 　永豐金",9.16,13.1433333333333,10.052,91.77,4.54
"57",3528,"　安馳",30,16.115,10.074,47.268,18.61
"58",5880," 　合庫金",13.9,7.72,11.606,94.144,25.06
"59",3706," 　神達",30.7,3.885,13.63,29.27,23.83
"60",2538," 　基泰",11.4,18.2033333333333,2.82,52.704,5.53
"61",3060," 　銘異",38.65,13.7,13.112,34.156,3.31
"62",4545,"　銘鈺",45.1,9.408,8.832,45.548,NA
"63",8131," 　福懋科",21.8,10.595,9.044,12.842,66.22
"64",6136," 　富爾特",22.95,6.954,11.884,6.862,13.97
"65",6214," 　精誠",50.9,3.81,26.164,29.89,9.76
"66",2493," 　揚博",26.1,15.255,8.532,30.572,19.13
"67",2423," 　固緯",18.35,9.968,9.906,30.704,29.08
"68",8249," 　菱光",19.45,6.482,10.328,26.19,25.88
"69",3030," 　德律",39.3,21.758,12.438,21.05,19.14
"70",6189," 　豐藝",31.95,16.422,10.588,55.754,11.5
"71",6216," 　居易",28.1,13.566,9.266,22.642,21.09
"72",6115," 　鎰勝",41.9,13.916,11.09,37.958,12.29
"73",2374," 　佳能",17.8,7.402,10.052,37.558,22.32
"74",1452," 　宏益",20.6,12.045,11.438,11.532,11.14
"75",3090," 　日電貿",24,13.238,10.7,54.842,8.71
"76",2706," 　第一店",16.65,5.885,15.204,13.236,20.14
"77",1108," 　幸福",9.21,4.662,10.056,39.636,8.56
"78",2722," 　夏都",41.9,11.315,25.374,13.568,48.19
"79",1582," 　信錦",53.3,15.29,9.964,42.764,14.65
"80",3454," 　晶睿",82.3,25.178,13.634,29.04,21.1
"81",6176," 　瑞儀",50.3,20.768,6.9,56.48,4.33
"82",3231," 　緯創",21.5,8.43,47.528,75.058,1.26
"83",2437," 　旺詮",48.65,10.186,8.688,41.892,26.68
"84",3005," 　神基",32.3,5.508,11.892,35.972,34.22
"85",2801," 　彰銀",16,0,11.594,93.208,34.54
"86",6409," 　旭隼",481.5,37.445,23.928,42.442,32.65
"87",9934," 　成霖",15.9,6.682,11.01,54.458,6.94
"88",3040,"　遠見",27.65,10.214,10.798,12.778,47.92
"89",5533," 　皇鼎",15.55,13.998,14.246,49.576,23.5
"90",2905,"　三商",19,12.3266666666667,8.678,96.652,36.29
"91",1229," 　聯華",20.65,7.128,13.078,19.148,24.6
"92",2340," 　光磊",13.15,6.396,10.834,36.07,14.41
"93",2856," 　元富證",8.22,7.57333333333333,9.63,76.872,38.05
"94",3321,"　同泰",17.2,11.79,22.056,52.458,NA
"95",2489," 　瑞軒",22.85,8.35,6.286,35.352,7.4
"96",1805," 　寶徠",5.62,14.166,4.682,43.38,36.17
"97",8070," 　長華",128,10.326,8.136,46.328,41.74
"98",3665," 　貿聯-KY",166,14.282,22.462,44.446,4.79
"99",2404," 　漢唐",48.45,17.268,8.484,59.986,12.52
"100",8039," 　台虹",32.1,12.668,9.984,44.81,8.25
